,age,Workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,Income
534,67, Private,231559, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,20051,0,48, United-States,1
535,39, Local-gov,207853, 12th,8, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,50, United-States,0
536,57, Private,190942, 1st-4th,2, Widowed, Priv-house-serv, Not-in-family, Black, Female,0,0,30, United-States,0
537,29, Private,102345, Assoc-voc,11, Separated, Craft-repair, Not-in-family, White, Male,0,0,40, United-States,0
538,31, Self-emp-inc,41493, Bachelors,13, Never-married, Farming-fishing, Not-in-family, White, Female,0,0,45, United-States,0
540,44, Private,210525, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States,0
541,29, Private,133937, Doctorate,16, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States,0
542,30, Private,237903, Some-college,10, Never-married, Handlers-cleaners, Unmarried, White, Female,0,0,40, United-States,0
543,27, Private,163862, HS-grad,9, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States,0
544,27, Private,201872, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States,0
545,32, Private,84179, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,45, United-States,0
546,58, Private,51662, 10th,6, Married-civ-spouse, Other-service, Wife, White, Female,0,0,8, United-States,0
547,35, Local-gov,233327, Some-college,10, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States,0
548,21, Private,259510, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,36, United-States,0
549,28, Private,184831, Some-college,10, Never-married, Craft-repair, Unmarried, White, Male,0,0,40, United-States,0
550,46, Self-emp-not-inc,245724, Some-college,10, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States,0
551,36, Self-emp-not-inc,27053, HS-grad,9, Separated, Other-service, Unmarried, White, Female,0,0,40, United-States,0
552,72, Private,205343, 11th,7, Widowed, Adm-clerical, Unmarried, White, Female,0,0,40, United-States,0
553,35, Private,229328, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Wife, Black, Female,0,0,40, United-States,0
554,33, Federal-gov,319560, Assoc-voc,11, Divorced, Craft-repair, Unmarried, Black, Female,0,0,40, United-States,1
555,69, Private,136218, 11th,7, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States,0
556,35, Private,54576, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States,0
558,34, Private,148291, HS-grad,9, Married-civ-spouse, Tech-support, Wife, White, Female,0,0,32, United-States,0
559,30, Private,152453, 11th,7, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Mexico,0
560,28, Private,114053, Bachelors,13, Never-married, Transport-moving, Not-in-family, White, Male,0,0,55, United-States,0
561,54, Private,212960, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,35, United-States,1
562,47, Private,264052, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States,1
563,24, Private,82804, HS-grad,9, Never-married, Handlers-cleaners, Unmarried, Black, Female,0,0,40, United-States,0
564,52, Self-emp-not-inc,334273, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States,1
565,20, Private,27337, HS-grad,9, Never-married, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Male,0,0,48, United-States,0
566,43, Self-emp-inc,188436, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,5013,0,45, United-States,0
567,45, Private,433665, 7th-8th,4, Separated, Other-service, Unmarried, White, Female,0,0,40, Mexico,0
568,29, Self-emp-not-inc,110663, HS-grad,9, Separated, Craft-repair, Not-in-family, White, Male,0,0,35, United-States,0
569,47, Private,87490, Masters,14, Divorced, Exec-managerial, Unmarried, White, Male,0,0,42, United-States,0
570,24, Private,354351, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States,0
571,51, Private,95469, HS-grad,9, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,0
572,17, Private,242718, 11th,7, Never-married, Sales, Own-child, White, Male,0,0,12, United-States,0
573,37, Private,22463, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1977,40, United-States,1
574,27, Private,158156, Doctorate,16, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,70, United-States,0
575,29, Private,350162, Bachelors,13, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,0,40, United-States,1
577,36, Self-emp-not-inc,28738, Assoc-acdm,12, Divorced, Sales, Unmarried, White, Female,0,0,35, United-States,0
578,58, Local-gov,283635, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States,0
579,26, Self-emp-not-inc,86646, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States,0
581,57, Private,69884, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States,1
582,59, Private,199713, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,0
583,27, Private,181659, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States,0
584,31, Self-emp-not-inc,340939, Bachelors,13, Never-married, Tech-support, Not-in-family, White, Male,0,0,40, United-States,0
585,21, Private,197747, Some-college,10, Never-married, Sales, Own-child, White, Female,0,0,24, United-States,0
586,29, Private,34292, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,60, United-States,0
587,18, Private,156764, 11th,7, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States,0
588,52, Private,25826, 10th,6, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1887,47, United-States,1
589,57, Self-emp-inc,103948, Bachelors,13, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,80, United-States,0
592,60, Private,39352, 7th-8th,4, Never-married, Transport-moving, Not-in-family, White, Male,0,0,48, United-States,1
593,31, Private,168387, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,7688,0,40, Canada,1
594,23, Private,117789, Bachelors,13, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States,0
595,27, Private,267147, HS-grad,9, Never-married, Sales, Own-child, White, Male,0,0,40, United-States,0
597,42, Self-emp-not-inc,214242, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1902,50, United-States,1
598,25, Private,200408, Some-college,10, Never-married, Tech-support, Not-in-family, White, Male,2174,0,40, United-States,0
599,49, Private,136455, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,45, United-States,0
600,32, Private,239824, Bachelors,13, Never-married, Tech-support, Not-in-family, White, Male,0,0,40, United-States,0
601,19, Private,217039, Some-college,10, Never-married, Adm-clerical, Own-child, White, Male,0,0,28, United-States,0
602,60, Private,51290, 7th-8th,4, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States,0
603,42, Local-gov,175674, 9th,5, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States,0
604,35, Self-emp-not-inc,194404, Assoc-acdm,12, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,40, United-States,0
605,48, Private,45612, HS-grad,9, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,37, United-States,0
606,51, Private,410114, Masters,14, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,1
607,29, Private,182521, HS-grad,9, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States,0
608,36, Local-gov,339772, HS-grad,9, Separated, Exec-managerial, Not-in-family, Black, Male,0,0,40, United-States,0
609,17, Private,169658, 10th,6, Never-married, Other-service, Own-child, White, Female,0,0,21, United-States,0
610,52, Private,200853, Masters,14, Divorced, Prof-specialty, Not-in-family, White, Female,6849,0,60, United-States,0
611,24, Private,247564, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States,0
612,24, Private,249909, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50, United-States,0
613,26, Local-gov,208122, Bachelors,13, Never-married, Prof-specialty, Own-child, White, Male,1055,0,40, United-States,0
614,27, Private,109881, Bachelors,13, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States,0
615,39, Private,207824, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,60, United-States,0
616,30, Private,369027, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,45, United-States,0
617,50, Self-emp-not-inc,114117, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,32, United-States,0
618,52, Self-emp-inc,51048, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,55, United-States,0
619,46, Private,102388, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,45, United-States,1
620,23, Private,190483, Bachelors,13, Never-married, Sales, Own-child, White, Female,0,0,20, United-States,0
621,45, Private,462440, 11th,7, Widowed, Other-service, Not-in-family, Black, Female,0,0,20, United-States,0
622,65, Private,109351, 9th,5, Widowed, Priv-house-serv, Unmarried, Black, Female,0,0,24, United-States,0
623,29, Private,34383, Assoc-voc,11, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,55, United-States,0
624,47, Private,241832, 9th,5, Married-spouse-absent, Handlers-cleaners, Unmarried, White, Male,0,0,40, El-Salvador,0
625,30, Private,124187, HS-grad,9, Never-married, Farming-fishing, Own-child, Black, Male,0,0,60, United-States,0
626,34, Private,153614, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States,1
627,38, Self-emp-not-inc,267556, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,64, United-States,0
628,33, Private,205469, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,1
629,49, Private,268090, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,26, United-States,1
630,47, Self-emp-not-inc,165039, Some-college,10, Never-married, Other-service, Unmarried, Black, Female,0,0,40, United-States,0
631,49, Local-gov,120451, 10th,6, Separated, Other-service, Unmarried, Black, Female,0,0,40, United-States,0
632,43, Private,154374, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,15024,0,60, United-States,1
633,30, Private,103649, Bachelors,13, Married-civ-spouse, Adm-clerical, Wife, Black, Female,0,0,40, United-States,1
634,58, Self-emp-not-inc,35723, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States,0
635,19, Private,262601, HS-grad,9, Never-married, Other-service, Own-child, White, Female,0,0,14, United-States,0
636,21, Private,226181, Bachelors,13, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States,0
637,33, Private,175697, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,60, United-States,1
638,47, Self-emp-inc,248145, 5th-6th,3, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, Cuba,0
639,52, Self-emp-not-inc,289436, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States,1
640,26, Private,75654, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Male,0,0,55, United-States,0
641,60, Private,199378, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,0
642,21, Private,160968, Some-college,10, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States,0
643,36, Private,188563, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,5178,0,50, United-States,1
644,31, Private,55849, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States,0
645,50, Self-emp-inc,195322, Doctorate,16, Separated, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States,1
646,31, Local-gov,402089, HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States,0
647,71, Private,78277, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,15, United-States,0
649,30, State-gov,169496, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States,1
650,20, Private,130959, Some-college,10, Never-married, Other-service, Own-child, White, Male,0,0,20, United-States,0
651,24, Private,556660, HS-grad,9, Never-married, Exec-managerial, Other-relative, White, Male,4101,0,50, United-States,0
652,35, Private,292472, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, Taiwan,1
653,38, State-gov,143774, Some-college,10, Separated, Exec-managerial, Not-in-family, White, Female,0,0,45, United-States,0
654,27, Private,288341, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,32, United-States,0
655,29, State-gov,71592, Some-college,10, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,40, Philippines,0
657,34, Private,106742, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States,0
658,44, Private,219288, 7th-8th,4, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, United-States,0
659,43, Private,174524, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States,1
660,44, Self-emp-not-inc,335183, 12th,8, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,0,40, United-States,1
661,35, Private,261293, Masters,14, Never-married, Sales, Not-in-family, White, Male,0,0,60, United-States,0
662,27, Private,111900, Some-college,10, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States,0
663,43, Local-gov,194360, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,38, United-States,0
664,20, Private,81145, Some-college,10, Never-married, Sales, Not-in-family, White, Female,0,0,25, United-States,0
665,42, Private,341204, Assoc-acdm,12, Divorced, Prof-specialty, Unmarried, White, Female,8614,0,40, United-States,1
666,27, State-gov,249362, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White, Male,3411,0,40, United-States,0
667,42, Private,247019, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States,1
669,24, Private,172146, 9th,5, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,1721,40, United-States,0
670,48, Federal-gov,110457, Some-college,10, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States,0
672,17, Self-emp-not-inc,368700, 11th,7, Never-married, Farming-fishing, Own-child, White, Male,0,0,10, United-States,0
673,33, Private,182556, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,1
674,50, Self-emp-inc,219420, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States,1
675,22, Private,240817, HS-grad,9, Never-married, Sales, Own-child, White, Female,2597,0,40, United-States,0
676,17, Private,102726, 12th,8, Never-married, Other-service, Own-child, White, Male,0,0,16, United-States,0
677,32, Private,226267, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, Mexico,0
678,31, Private,125457, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,0,0,45, United-States,0
679,58, Self-emp-not-inc,204021, HS-grad,9, Widowed, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States,0
680,29, Local-gov,92262, HS-grad,9, Never-married, Protective-serv, Own-child, White, Male,0,0,48, United-States,0
681,37, Private,161141, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Portugal,1
682,34, Self-emp-not-inc,190290, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,1
683,23, Local-gov,430828, Some-college,10, Separated, Exec-managerial, Unmarried, Black, Male,0,0,40, United-States,0
684,18, State-gov,59342, 11th,7, Never-married, Adm-clerical, Own-child, White, Female,0,0,5, United-States,0
685,34, Private,136721, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States,0
687,45, Local-gov,86644, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,55, United-States,0
688,41, Private,195124, Masters,14, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,35, Dominican-Republic,0
689,26, Private,167350, HS-grad,9, Never-married, Other-service, Other-relative, White, Male,0,0,30, United-States,0
690,54, Local-gov,113000, Some-college,10, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States,0
691,24, Private,140027, Some-college,10, Never-married, Machine-op-inspct, Own-child, Black, Female,0,0,45, United-States,0
692,42, Private,262425, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States,0
693,20, Private,316702, Some-college,10, Never-married, Prof-specialty, Own-child, White, Male,0,0,20, United-States,0
694,23, State-gov,335453, Bachelors,13, Never-married, Tech-support, Not-in-family, White, Female,0,0,20, United-States,0
696,35, Private,203628, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,60, United-States,1
697,31, Private,118710, Masters,14, Married-civ-spouse, Tech-support, Husband, White, Male,0,1902,40, United-States,1
698,30, Private,189620, Bachelors,13, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, Poland,0
699,19, Private,475028, HS-grad,9, Never-married, Sales, Own-child, White, Female,0,0,20, United-States,0
700,36, Local-gov,110866, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States,0
701,31, Private,243605, Bachelors,13, Widowed, Sales, Unmarried, White, Female,0,1380,40, Cuba,0
702,21, Private,163870, Some-college,10, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,30, United-States,0
703,31, Self-emp-not-inc,80145, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,0
704,46, Private,295566, Doctorate,16, Divorced, Prof-specialty, Unmarried, White, Female,25236,0,65, United-States,1
705,44, Private,63042, Bachelors,13, Divorced, Exec-managerial, Own-child, White, Female,0,0,50, United-States,1
706,40, Private,229148, 12th,8, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,40, Jamaica,0
707,45, Private,242552, Some-college,10, Never-married, Sales, Not-in-family, Black, Male,0,0,40, United-States,0
708,60, Private,177665, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, United-States,0
709,18, Private,208103, 11th,7, Never-married, Other-service, Other-relative, White, Male,0,0,25, United-States,0
710,28, Private,296450, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,0
711,36, Private,70282, Some-college,10, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States,0
713,40, Private,144995, Assoc-voc,11, Married-civ-spouse, Tech-support, Husband, White, Male,4386,0,40, United-States,0
714,36, Local-gov,382635, Bachelors,13, Divorced, Adm-clerical, Unmarried, White, Female,0,0,35, Honduras,0
715,31, Private,295697, HS-grad,9, Separated, Other-service, Unmarried, Black, Female,0,0,40, United-States,0
716,33, Private,194141, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States,0
717,19, State-gov,378418, HS-grad,9, Never-married, Tech-support, Own-child, White, Female,0,0,40, United-States,0
718,22, Private,214399, Some-college,10, Never-married, Sales, Own-child, White, Female,0,0,15, United-States,0
719,34, Private,217460, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States,1
720,33, Private,182556, HS-grad,9, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States,0
721,41, Private,125831, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,2051,60, United-States,0
722,29, Private,271328, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male,4650,0,40, United-States,0
723,50, Local-gov,50459, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,42, United-States,1
724,42, Private,162140, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,7298,0,45, United-States,1
726,44, Private,111502, HS-grad,9, Married-civ-spouse, Sales, Wife, White, Female,0,0,40, United-States,0
727,20, Private,299047, Some-college,10, Never-married, Other-service, Not-in-family, White, Female,0,0,20, United-States,0
728,31, Private,223212, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Mexico,0
730,23, Private,352139, Some-college,10, Never-married, Other-service, Not-in-family, White, Female,0,0,24, United-States,0
731,55, Private,173093, Some-college,10, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States,0
732,26, Private,181655, Assoc-voc,11, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,2377,45, United-States,0
733,25, Private,332702, Assoc-voc,11, Never-married, Other-service, Own-child, White, Female,0,0,15, United-States,0
735,35, Private,234901, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,2407,0,40, United-States,0
736,36, Private,131414, Some-college,10, Never-married, Sales, Not-in-family, Black, Female,0,0,36, United-States,0
737,43, State-gov,260960, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States,0
738,56, Private,156052, HS-grad,9, Widowed, Other-service, Unmarried, Black, Female,594,0,20, United-States,0
739,42, Private,279914, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States,1
740,19, Private,192453, Some-college,10, Never-married, Other-service, Other-relative, White, Female,0,0,25, United-States,0
741,55, Self-emp-not-inc,200939, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,72, United-States,0
742,42, Private,151408, Masters,14, Never-married, Exec-managerial, Not-in-family, White, Female,14084,0,50, United-States,1
743,26, Private,112847, Assoc-voc,11, Never-married, Tech-support, Own-child, White, Male,0,0,40, United-States,0
744,17, Private,316929, 12th,8, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,20, United-States,0
745,42, Local-gov,126319, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, United-States,1
746,55, Private,197422, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,7688,0,40, United-States,1
747,32, Private,267736, Some-college,10, Never-married, Adm-clerical, Own-child, Black, Female,0,0,40, United-States,0
748,29, Private,267034, 11th,7, Never-married, Craft-repair, Own-child, Black, Male,0,0,40, Haiti,0
749,46, State-gov,193047, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,37, United-States,0
750,29, State-gov,356089, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,7688,0,40, United-States,1
751,22, Private,223515, Bachelors,13, Never-married, Prof-specialty, Unmarried, White, Male,0,0,20, United-States,0
752,58, Self-emp-not-inc,87510, 10th,6, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,0
753,23, Private,145111, HS-grad,9, Never-married, Transport-moving, Unmarried, White, Male,0,0,50, United-States,0
754,39, Private,48093, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States,0
755,27, Private,31757, Assoc-voc,11, Never-married, Craft-repair, Own-child, White, Male,0,0,38, United-States,0
756,54, Private,285854, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States,1
757,33, Local-gov,120064, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,45, United-States,0
758,46, Federal-gov,167381, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States,1
759,37, Private,103408, HS-grad,9, Never-married, Farming-fishing, Not-in-family, Black, Male,0,0,40, United-States,0
760,36, Private,101460, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,0,0,18, United-States,0
761,59, Local-gov,420537, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,38, United-States,1
762,34, Local-gov,119411, HS-grad,9, Divorced, Protective-serv, Unmarried, White, Male,0,0,40, Portugal,0
763,53, Self-emp-inc,128272, Doctorate,16, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,70, United-States,1
764,51, Private,386773, Bachelors,13, Never-married, Sales, Not-in-family, White, Male,0,0,55, United-States,1
765,32, Private,283268, 10th,6, Separated, Other-service, Unmarried, White, Female,0,0,42, United-States,0
766,31, State-gov,301526, Some-college,10, Married-spouse-absent, Other-service, Other-relative, White, Male,0,0,40, United-States,0
767,22, Private,151790, Some-college,10, Married-civ-spouse, Sales, Wife, White, Female,0,0,30, Germany,0
768,47, Self-emp-not-inc,106252, Bachelors,13, Divorced, Sales, Not-in-family, White, Female,0,0,50, United-States,0
769,32, Private,188557, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States,0
770,26, Private,171114, Some-college,10, Never-married, Farming-fishing, Not-in-family, White, Female,0,0,38, United-States,0
771,37, Private,327323, 5th-6th,3, Separated, Farming-fishing, Not-in-family, White, Male,0,0,32, Guatemala,0
772,31, Private,244147, HS-grad,9, Divorced, Craft-repair, Unmarried, White, Male,0,0,55, United-States,0
773,37, Private,280282, Assoc-voc,11, Married-civ-spouse, Tech-support, Wife, White, Female,0,0,24, United-States,1
774,55, Private,116442, HS-grad,9, Never-married, Sales, Not-in-family, White, Male,0,0,38, United-States,0
775,23, Local-gov,282579, Assoc-voc,11, Divorced, Tech-support, Not-in-family, White, Male,0,0,56, United-States,0
776,36, Private,51838, Some-college,10, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States,0
778,43, Private,226902, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States,1
779,54, Private,279129, Some-college,10, Never-married, Tech-support, Not-in-family, White, Male,0,0,40, United-States,0
781,28, Private,196690, Assoc-voc,11, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,1669,42, United-States,0
782,40, Private,130760, Assoc-voc,11, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States,1
783,41, Self-emp-not-inc,49572, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States,0
784,40, Private,237601, Bachelors,13, Never-married, Sales, Not-in-family, Other, Female,0,0,55, United-States,1
785,42, Private,169628, Some-college,10, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,38, United-States,0
786,61, Self-emp-not-inc,36671, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,2352,50, United-States,0
787,18, Private,231193, 12th,8, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,30, United-States,0
790,48, Private,102102, Assoc-voc,11, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,50, United-States,1
791,41, Self-emp-inc,32185, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States,0
793,23, Private,211046, HS-grad,9, Never-married, Sales, Not-in-family, White, Female,2463,0,40, United-States,0
794,60, Private,31577, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States,1
795,22, Private,162343, Some-college,10, Never-married, Other-service, Other-relative, Black, Male,0,0,20, United-States,0
796,61, Private,128831, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States,0
797,25, Private,316688, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, Black, Male,0,0,40, United-States,0
798,46, Private,90758, Masters,14, Never-married, Tech-support, Not-in-family, White, Male,0,0,35, United-States,1
799,43, Private,274363, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,40, England,1
800,43, Private,154538, Assoc-acdm,12, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States,0
801,24, Private,106085, HS-grad,9, Never-married, Other-service, Own-child, Black, Male,0,1721,30, United-States,0
802,68, Self-emp-not-inc,315859, 11th,7, Never-married, Farming-fishing, Unmarried, White, Male,0,0,20, United-States,0
803,31, Private,51471, HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Female,0,0,38, United-States,0
